Price,Close,High,Low,Open,Volume,returns
Ticker,SPY,SPY,SPY,SPY,SPY,
date,,,,,,
2023-10-16,422.64813232421875,423.71435449669224,420.25399100160854,420.4963128780658,75433200,0.010466345812727542
2023-10-17,422.6287536621094,424.6836681484373,419.1684195342952,419.5173488593283,75324700,-4.5851631421735487e-05
2023-10-18,416.9971923828125,421.81455273319096,415.91159504982164,420.85496751569167,93559800,-0.013414653887019946
2023-10-19,413.333251953125,419.5270131332278,412.65476846702256,417.714450283055,121323000,-0.008825315837848721
2023-10-20,408.2542419433594,413.4399364601398,408.1476049268172,412.89713777676974,123919900,-0.012364050693521724
2023-10-23,407.5466003417969,411.4140774521023,404.96829212836195,406.7227000782813,92035100,-0.0017348395401526036
2023-10-24,410.6192321777344,411.7726865675268,407.81797735100866,409.6693198625217,78564200,0.007511059883626543
2023-10-25,404.7259826660156,408.9617938766799,404.21226147565824,408.93271643497314,94223200,-0.0144560905842104
2023-10-26,399.87957763671875,404.512771066671,398.9587721877273,403.65982284727204,115156800,-0.012046806235743003
2023-10-27,398.06695556640625,401.8665753160578,396.642101857825,401.46916391920945,107367700,-0.0045432246716572006
2023-10-30,402.826171875,403.882691656562,399.55967786827136,400.8585195147872,86562700,0.011884912395393738
2023-10-31,405.3560485839844,405.67590044700427,401.48857130380884,403.39806888205027,79665200,0.006260679605116435
2023-11-01,409.6791076660156,410.49330571448974,405.7922548569512,406.32538079437717,98068100,0.010608375825366704
2023-11-02,417.5303039550781,417.68539350879695,413.4592845158063,413.4786596174057,94938900,0.018982936952764866
2023-11-03,421.3396301269531,422.89049620638866,419.71123405468535,419.83724617580907,100167800,0.009082104868248753
2023-11-06,422.308837890625,422.7547018208165,420.36056071301397,422.09559347526306,67831700,0.002297658863386686
2023-11-07,423.51080322265625,424.1505365569555,421.1651439105342,422.308896123232,64256100,0.0028421334353132665
2023-11-08,423.8209228515625,424.6351207317609,421.5140140675149,424.1116972443818,61746000,0.0007319911038625589
2023-11-09,420.5157165527344,425.0035227425126,420.08922765476564,424.9647429571584,83174400,-0.007829159668033082
2023-11-10,427.0777587890625,427.38793789386506,420.5059906051338,422.58998243152627,89462200,0.01548424695884534
